COUNTY,STATE,POPULATION,DATE
Apache County, Arizona,71606,2017-07-01
Cochise County, Arizona,124756,2017-07-01
Coconino County, Arizona,140776,2017-07-01
Gila County, Arizona,53501,2017-07-01
Graham County, Arizona,37466,2017-07-01
Greenlee County, Arizona,9455,2017-07-01
La Paz County, Arizona,20601,2017-07-01
Maricopa County, Arizona,4307033,2017-07-01
Mohave County, Arizona,207200,2017-07-01
Navajo County, Arizona,108956,2017-07-01
Pima County, Arizona,1022769,2017-07-01
Pinal County, Arizona,430237,2017-07-01
Santa Cruz County, Arizona,46212,2017-07-01
Logan County, Arkansas,21722,2017-07-01
Lonoke County, Arkansas,72898,2017-07-01
Madison County, Arkansas,16339,2017-07-01
Marion County, Arkansas,16428,2017-07-01
Miller County, Arkansas,43984,2017-07-01
Mississippi County, Arkansas,42159,2017-07-01
Boone County, Arkansas,37381,2017-07-01
Bradley County, Arkansas,10864,2017-07-01
Calhoun County, Arkansas,5247,2017-07-01
Carroll County, Arkansas,27944,2017-07-01
Chicot County, Arkansas,10636,2017-07-01
Clark County, Arkansas,22293,2017-07-01
Clay County, Arkansas,14920,2017-07-01
Cleburne County, Arkansas,25048,2017-07-01
Cleveland County, Arkansas,8202,2017-07-01
Columbia County, Arkansas,23627,2017-07-01
Conway County, Arkansas,20916,2017-07-01
Craighead County, Arkansas,107115,2017-07-01
Crawford County, Arkansas,62996,2017-07-01
Crittenden County, Arkansas,48750,2017-07-01
Cross County, Arkansas,16863,2017-07-01
Dallas County, Arkansas,7393,2017-07-01
Desha County, Arkansas,11764,2017-07-01
Drew County, Arkansas,18547,2017-07-01
Faulkner County, Arkansas,123654,2017-07-01
Franklin County, Arkansas,17890,2017-07-01
Fulton County, Arkansas,12055,2017-07-01
Garland County, Arkansas,98658,2017-07-01
Grant County, Arkansas,18165,2017-07-01
Greene County, Arkansas,45053,2017-07-01
Hempstead County, Arkansas,21861,2017-07-01
Hot Spring County, Arkansas,33574,2017-07-01
Howard County, Arkansas,13478,2017-07-01
Independence County, Arkansas,37504,2017-07-01
Izard County, Arkansas,13686,2017-07-01
Jackson County, Arkansas,17135,2017-07-01
Jefferson County, Arkansas,69115,2017-07-01
Johnson County, Arkansas,26552,2017-07-01
Lafayette County, Arkansas,6862,2017-07-01
Lawrence County, Arkansas,16525,2017-07-01
Lee County, Arkansas,9176,2017-07-01
Lincoln County, Arkansas,13646,2017-07-01
Little River County, Arkansas,12359,2017-07-01
Kings County, California,150101,2017-07-01
Lake County, California,64246,2017-07-01
Lassen County, California,31163,2017-07-01
Los Angeles County, California,10163507,2017-07-01
Madera County, California,156890,2017-07-01
Marin County, California,260955,2017-07-01
Monroe County, Arkansas,7085,2017-07-01
Montgomery County, Arkansas,8919,2017-07-01
Nevada County, Arkansas,8327,2017-07-01
Newton County, Arkansas,7828,2017-07-01
Ouachita County, Arkansas,23868,2017-07-01
Perry County, Arkansas,10348,2017-07-01
Phillips County, Arkansas,18572,2017-07-01
Pike County, Arkansas,10726,2017-07-01
Poinsett County, Arkansas,24154,2017-07-01
Polk County, Arkansas,20118,2017-07-01
Pope County, Arkansas,63835,2017-07-01
Prairie County, Arkansas,8248,2017-07-01
Pulaski County, Arkansas,393956,2017-07-01
Randolph County, Arkansas,17557,2017-07-01
St. Francis County, Arkansas,25930,2017-07-01
Saline County, Arkansas,119323,2017-07-01
Scott County, Arkansas,10445,2017-07-01
Searcy County, Arkansas,7938,2017-07-01
Sebastian County, Arkansas,128107,2017-07-01
Sevier County, Arkansas,17115,2017-07-01
Sharp County, Arkansas,17393,2017-07-01
Stone County, Arkansas,12537,2017-07-01
Union County, Arkansas,39449,2017-07-01
Van Buren County, Arkansas,16506,2017-07-01
Washington County, Arkansas,231996,2017-07-01
White County, Arkansas,79016,2017-07-01
Woodruff County, Arkansas,6571,2017-07-01
Yell County, Arkansas,21523,2017-07-01
Alameda County, California,1663190,2017-07-01
Alpine County, California,1120,2017-07-01
Amador County, California,38626,2017-07-01
Butte County, California,229294,2017-07-01
Calaveras County, California,45670,2017-07-01
Colusa County, California,21805,2017-07-01
Contra Costa County, California,1147439,2017-07-01
Del Norte County, California,27470,2017-07-01
El Dorado County, California,188987,2017-07-01
Fresno County, California,989255,2017-07-01
Glenn County, California,28094,2017-07-01
Humboldt County, California,136754,2017-07-01
Imperial County, California,182830,2017-07-01
Inyo County, California,18026,2017-07-01
Kern County, California,893119,2017-07-01
Yuba County, California,77031,2017-07-01
Adams County, Colorado,503167,2017-07-01
Alamosa County, Colorado,16551,2017-07-01
Arapahoe County, Colorado,643052,2017-07-01
Archuleta County, Colorado,13315,2017-07-01
Baca County, Colorado,3562,2017-07-01
Mariposa County, California,17569,2017-07-01
Mendocino County, California,88018,2017-07-01
Merced County, California,272673,2017-07-01
Modoc County, California,8859,2017-07-01
Mono County, California,14168,2017-07-01
Monterey County, California,437907,2017-07-01
Napa County, California,140973,2017-07-01
Nevada County, California,99814,2017-07-01
Orange County, California,3190400,2017-07-01
Placer County, California,386166,2017-07-01
Plumas County, California,18742,2017-07-01
Riverside County, California,2423266,2017-07-01
Sacramento County, California,1530615,2017-07-01
San Benito County, California,60310,2017-07-01
San Bernardino County, California,2157404,2017-07-01
San Diego County, California,3337685,2017-07-01
San Francisco County, California,884363,2017-07-01
San Joaquin County, California,745424,2017-07-01
San Luis Obispo County, California,283405,2017-07-01
San Mateo County, California,771410,2017-07-01
Santa Barbara County, California,448150,2017-07-01
Santa Clara County, California,1938153,2017-07-01
Santa Cruz County, California,275897,2017-07-01
Shasta County, California,179921,2017-07-01
Sierra County, California,2999,2017-07-01
Siskiyou County, California,43853,2017-07-01
Solano County, California,445458,2017-07-01
Sonoma County, California,504217,2017-07-01
Stanislaus County, California,547899,2017-07-01
Sutter County, California,96648,2017-07-01
Tehama County, California,63926,2017-07-01
Trinity County, California,12709,2017-07-01
Tulare County, California,464493,2017-07-01
Tuolumne County, California,54248,2017-07-01
Ventura County, California,854223,2017-07-01
Yolo County, California,219116,2017-07-01
Phillips County, Colorado,4292,2017-07-01
Pitkin County, Colorado,17890,2017-07-01
Prowers County, Colorado,12070,2017-07-01
Pueblo County, Colorado,166475,2017-07-01
Rio Blanco County, Colorado,6420,2017-07-01
Rio Grande County, Colorado,11301,2017-07-01
Routt County, Colorado,25220,2017-07-01
Bent County, Colorado,5938,2017-07-01
Boulder County, Colorado,322514,2017-07-01
Broomfield County, Colorado,68341,2017-07-01
Chaffee County, Colorado,19638,2017-07-01
Cheyenne County, Colorado,1845,2017-07-01
Clear Creek County, Colorado,9574,2017-07-01
Conejos County, Colorado,8184,2017-07-01
Costilla County, Colorado,3776,2017-07-01
Crowley County, Colorado,5810,2017-07-01
Custer County, Colorado,4874,2017-07-01
Delta County, Colorado,30568,2017-07-01
Denver County, Colorado,704621,2017-07-01
Dolores County, Colorado,2067,2017-07-01
Douglas County, Colorado,335299,2017-07-01
Eagle County, Colorado,54772,2017-07-01
Elbert County, Colorado,25642,2017-07-01
El Paso County, Colorado,699232,2017-07-01
Fremont County, Colorado,47559,2017-07-01
Garfield County, Colorado,59118,2017-07-01
Gilpin County, Colorado,6013,2017-07-01
Grand County, Colorado,15321,2017-07-01
Gunnison County, Colorado,16939,2017-07-01
Hinsdale County, Colorado,794,2017-07-01
Huerfano County, Colorado,6662,2017-07-01
Jackson County, Colorado,1385,2017-07-01
Jefferson County, Colorado,574613,2017-07-01
Kiowa County, Colorado,1376,2017-07-01
Kit Carson County, Colorado,7158,2017-07-01
Lake County, Colorado,7778,2017-07-01
La Plata County, Colorado,55589,2017-07-01
Larimer County, Colorado,343976,2017-07-01
Las Animas County, Colorado,14238,2017-07-01
Lincoln County, Colorado,5546,2017-07-01
Logan County, Colorado,21896,2017-07-01
Mesa County, Colorado,151616,2017-07-01
Mineral County, Colorado,766,2017-07-01
Moffat County, Colorado,13131,2017-07-01
Montezuma County, Colorado,26140,2017-07-01
Montrose County, Colorado,41784,2017-07-01
Morgan County, Colorado,28192,2017-07-01
Otero County, Colorado,18326,2017-07-01
Ouray County, Colorado,4794,2017-07-01
Park County, Colorado,17905,2017-07-01
Escambia County, Florida,313512,2017-07-01
Flagler County, Florida,110510,2017-07-01
Franklin County, Florida,11727,2017-07-01
Gadsden County, Florida,46071,2017-07-01
Gilchrist County, Florida,17743,2017-07-01
Glades County, Florida,13754,2017-07-01
Saguache County, Colorado,6626,2017-07-01
San Juan County, Colorado,715,2017-07-01
San Miguel County, Colorado,7967,2017-07-01
Sedgwick County, Colorado,2344,2017-07-01
Summit County, Colorado,30585,2017-07-01
Teller County, Colorado,24646,2017-07-01
Washington County, Colorado,4938,2017-07-01
Weld County, Colorado,304633,2017-07-01
Yuma County, Colorado,10075,2017-07-01
Fairfield County, Connecticut,949921,2017-07-01
Hartford County, Connecticut,895388,2017-07-01
Litchfield County, Connecticut,182177,2017-07-01
Middlesex County, Connecticut,163410,2017-07-01
New Haven County, Connecticut,860435,2017-07-01
New London County, Connecticut,269033,2017-07-01
Tolland County, Connecticut,151461,2017-07-01
Windham County, Connecticut,116359,2017-07-01
Kent County, Delaware,176824,2017-07-01
New Castle County, Delaware,559793,2017-07-01
Sussex County, Delaware,225322,2017-07-01
District of Columbia, District of Columbia,693972,2017-07-01
Alachua County, Florida,266944,2017-07-01
Baker County, Florida,28283,2017-07-01
Bay County, Florida,183563,2017-07-01
Bradford County, Florida,27038,2017-07-01
Brevard County, Florida,589162,2017-07-01
Broward County, Florida,1935878,2017-07-01
Calhoun County, Florida,14483,2017-07-01
Charlotte County, Florida,182033,2017-07-01
Citrus County, Florida,145647,2017-07-01
Clay County, Florida,212230,2017-07-01
Collier County, Florida,372880,2017-07-01
Columbia County, Florida,69612,2017-07-01
DeSoto County, Florida,36862,2017-07-01
Dixie County, Florida,16673,2017-07-01
Duval County, Florida,937934,2017-07-01
Walton County, Florida,68376,2017-07-01
Washington County, Florida,24567,2017-07-01
Appling County, Georgia,18521,2017-07-01
Atkinson County, Georgia,8342,2017-07-01
Bacon County, Georgia,11319,2017-07-01
Baker County, Georgia,3200,2017-07-01
Gulf County, Florida,16160,2017-07-01
Hamilton County, Florida,14184,2017-07-01
Hardee County, Florida,27411,2017-07-01
Hendry County, Florida,40347,2017-07-01
Hernando County, Florida,186553,2017-07-01
Highlands County, Florida,102883,2017-07-01
Hillsborough County, Florida,1408566,2017-07-01
Holmes County, Florida,19558,2017-07-01
Indian River County, Florida,154383,2017-07-01
Jackson County, Florida,48330,2017-07-01
Jefferson County, Florida,14144,2017-07-01
Lafayette County, Florida,8451,2017-07-01
Lake County, Florida,346017,2017-07-01
Lee County, Florida,739224,2017-07-01
Leon County, Florida,290292,2017-07-01
Levy County, Florida,40355,2017-07-01
Liberty County, Florida,8242,2017-07-01
Madison County, Florida,18449,2017-07-01
Manatee County, Florida,385571,2017-07-01
Marion County, Florida,354353,2017-07-01
Martin County, Florida,159923,2017-07-01
Miami-Dade County, Florida,2751796,2017-07-01
Monroe County, Florida,77013,2017-07-01
Nassau County, Florida,82721,2017-07-01
Okaloosa County, Florida,202970,2017-07-01
Okeechobee County, Florida,41605,2017-07-01
Orange County, Florida,1348975,2017-07-01
Osceola County, Florida,352180,2017-07-01
Palm Beach County, Florida,1471150,2017-07-01
Pasco County, Florida,525643,2017-07-01
Pinellas County, Florida,970637,2017-07-01
Polk County, Florida,686483,2017-07-01
Putnam County, Florida,73464,2017-07-01
St. Johns County, Florida,243812,2017-07-01
St. Lucie County, Florida,313506,2017-07-01
Santa Rosa County, Florida,174272,2017-07-01
Sarasota County, Florida,419119,2017-07-01
Seminole County, Florida,462659,2017-07-01
Sumter County, Florida,125165,2017-07-01
Suwannee County, Florida,44190,2017-07-01
Taylor County, Florida,21833,2017-07-01
Union County, Florida,15517,2017-07-01
Volusia County, Florida,538692,2017-07-01
Wakulla County, Florida,32120,2017-07-01
Dawson County, Georgia,24379,2017-07-01
Decatur County, Georgia,26716,2017-07-01
DeKalb County, Georgia,753253,2017-07-01
Dodge County, Georgia,20730,2017-07-01
Dooly County, Georgia,13737,2017-07-01
Dougherty County, Georgia,89502,2017-07-01
Baldwin County, Georgia,44906,2017-07-01
Banks County, Georgia,18634,2017-07-01
Barrow County, Georgia,79061,2017-07-01
Bartow County, Georgia,105054,2017-07-01
Ben Hill County, Georgia,16996,2017-07-01
Berrien County, Georgia,19186,2017-07-01
Bibb County, Georgia,152862,2017-07-01
Bleckley County, Georgia,12830,2017-07-01
Brantley County, Georgia,18731,2017-07-01
Brooks County, Georgia,15587,2017-07-01
Bryan County, Georgia,37060,2017-07-01
Bulloch County, Georgia,76149,2017-07-01
Burke County, Georgia,22522,2017-07-01
Butts County, Georgia,24059,2017-07-01
Calhoun County, Georgia,6455,2017-07-01
Camden County, Georgia,53044,2017-07-01
Candler County, Georgia,10797,2017-07-01
Carroll County, Georgia,117812,2017-07-01
Catoosa County, Georgia,66550,2017-07-01
Charlton County, Georgia,12715,2017-07-01
Chatham County, Georgia,290501,2017-07-01
Chattahoochee County, Georgia,10343,2017-07-01
Chattooga County, Georgia,24770,2017-07-01
Cherokee County, Georgia,247573,2017-07-01
Clarke County, Georgia,127064,2017-07-01
Clay County, Georgia,2962,2017-07-01
Clayton County, Georgia,285153,2017-07-01
Clinch County, Georgia,6727,2017-07-01
Cobb County, Georgia,755754,2017-07-01
Coffee County, Georgia,43014,2017-07-01
Colquitt County, Georgia,45835,2017-07-01
Columbia County, Georgia,151579,2017-07-01
Cook County, Georgia,17277,2017-07-01
Coweta County, Georgia,143114,2017-07-01
Crawford County, Georgia,12295,2017-07-01
Crisp County, Georgia,22736,2017-07-01
Dade County, Georgia,16285,2017-07-01
Lowndes County, Georgia,115489,2017-07-01
Lumpkin County, Georgia,32873,2017-07-01
McDuffie County, Georgia,21498,2017-07-01
McIntosh County, Georgia,14106,2017-07-01
Macon County, Georgia,13314,2017-07-01
Madison County, Georgia,29302,2017-07-01
Douglas County, Georgia,143882,2017-07-01
Early County, Georgia,10296,2017-07-01
Echols County, Georgia,3936,2017-07-01
Effingham County, Georgia,59982,2017-07-01
Elbert County, Georgia,19109,2017-07-01
Emanuel County, Georgia,22530,2017-07-01
Evans County, Georgia,10775,2017-07-01
Fannin County, Georgia,25322,2017-07-01
Fayette County, Georgia,112549,2017-07-01
Floyd County, Georgia,97613,2017-07-01
Forsyth County, Georgia,227967,2017-07-01
Franklin County, Georgia,22820,2017-07-01
Fulton County, Georgia,1041423,2017-07-01
Gilmer County, Georgia,30674,2017-07-01
Glascock County, Georgia,3062,2017-07-01
Glynn County, Georgia,85282,2017-07-01
Gordon County, Georgia,57089,2017-07-01
Grady County, Georgia,24819,2017-07-01
Greene County, Georgia,17281,2017-07-01
Gwinnett County, Georgia,920260,2017-07-01
Habersham County, Georgia,44567,2017-07-01
Hall County, Georgia,199335,2017-07-01
Hancock County, Georgia,8561,2017-07-01
Haralson County, Georgia,29256,2017-07-01
Harris County, Georgia,33915,2017-07-01
Hart County, Georgia,25794,2017-07-01
Heard County, Georgia,11730,2017-07-01
Henry County, Georgia,225813,2017-07-01
Houston County, Georgia,153479,2017-07-01
Irwin County, Georgia,9410,2017-07-01
Jackson County, Georgia,67519,2017-07-01
Jasper County, Georgia,13964,2017-07-01
Jeff Davis County, Georgia,15025,2017-07-01
Jefferson County, Georgia,15648,2017-07-01
Jenkins County, Georgia,8767,2017-07-01
Johnson County, Georgia,9788,2017-07-01
Jones County, Georgia,28470,2017-07-01
Lamar County, Georgia,18599,2017-07-01
Lanier County, Georgia,10425,2017-07-01
Laurens County, Georgia,47330,2017-07-01
Lee County, Georgia,29470,2017-07-01
Liberty County, Georgia,61386,2017-07-01
Lincoln County, Georgia,7880,2017-07-01
Long County, Georgia,19014,2017-07-01
Terrell County, Georgia,8729,2017-07-01
Thomas County, Georgia,44779,2017-07-01
Tift County, Georgia,40598,2017-07-01
Toombs County, Georgia,26999,2017-07-01
Towns County, Georgia,11506,2017-07-01
Treutlen County, Georgia,6740,2017-07-01
Troup County, Georgia,69786,2017-07-01
Marion County, Georgia,8450,2017-07-01
Meriwether County, Georgia,21049,2017-07-01
Miller County, Georgia,5838,2017-07-01
Mitchell County, Georgia,22292,2017-07-01
Monroe County, Georgia,27113,2017-07-01
Montgomery County, Georgia,9031,2017-07-01
Morgan County, Georgia,18412,2017-07-01
Murray County, Georgia,39782,2017-07-01
Muscogee County, Georgia,194058,2017-07-01
Newton County, Georgia,108078,2017-07-01
Oconee County, Georgia,38028,2017-07-01
Oglethorpe County, Georgia,14877,2017-07-01
Paulding County, Georgia,159445,2017-07-01
Peach County, Georgia,27099,2017-07-01
Pickens County, Georgia,31588,2017-07-01
Pierce County, Georgia,19307,2017-07-01
Pike County, Georgia,18217,2017-07-01
Polk County, Georgia,42085,2017-07-01
Pulaski County, Georgia,11201,2017-07-01
Putnam County, Georgia,21730,2017-07-01
Quitman County, Georgia,2358,2017-07-01
Rabun County, Georgia,16602,2017-07-01
Randolph County, Georgia,7075,2017-07-01
Richmond County, Georgia,201800,2017-07-01
Rockdale County, Georgia,90312,2017-07-01
Schley County, Georgia,5213,2017-07-01
Screven County, Georgia,13953,2017-07-01
Seminole County, Georgia,8292,2017-07-01
Spalding County, Georgia,65380,2017-07-01
Stephens County, Georgia,25890,2017-07-01
Stewart County, Georgia,5985,2017-07-01
Sumter County, Georgia,29847,2017-07-01
Talbot County, Georgia,6249,2017-07-01
Taliaferro County, Georgia,1628,2017-07-01
Tattnall County, Georgia,25334,2017-07-01
Taylor County, Georgia,8142,2017-07-01
Telfair County, Georgia,15989,2017-07-01
Fremont County, Idaho,13094,2017-07-01
Gem County, Idaho,17379,2017-07-01
Gooding County, Idaho,15124,2017-07-01
Idaho County, Idaho,16369,2017-07-01
Jefferson County, Idaho,28446,2017-07-01
Jerome County, Idaho,23627,2017-07-01
Turner County, Georgia,7961,2017-07-01
Twiggs County, Georgia,8174,2017-07-01
Union County, Georgia,23459,2017-07-01
Upson County, Georgia,26135,2017-07-01
Walker County, Georgia,68939,2017-07-01
Walton County, Georgia,91600,2017-07-01
Ware County, Georgia,35871,2017-07-01
Warren County, Georgia,5303,2017-07-01
Washington County, Georgia,20313,2017-07-01
Wayne County, Georgia,29817,2017-07-01
Webster County, Georgia,2605,2017-07-01
Wheeler County, Georgia,7952,2017-07-01
White County, Georgia,29453,2017-07-01
Whitfield County, Georgia,104658,2017-07-01
Wilcox County, Georgia,8800,2017-07-01
Wilkes County, Georgia,9892,2017-07-01
Wilkinson County, Georgia,8959,2017-07-01
Worth County, Georgia,20533,2017-07-01
Hawaii County, Hawaii,200381,2017-07-01
Honolulu County, Hawaii,988650,2017-07-01
Kalawao County, Hawaii,88,2017-07-01
Kauai County, Hawaii,72159,2017-07-01
Maui County, Hawaii,166260,2017-07-01
Ada County, Idaho,456849,2017-07-01
Adams County, Idaho,4147,2017-07-01
Bannock County, Idaho,85269,2017-07-01
Bear Lake County, Idaho,6028,2017-07-01
Benewah County, Idaho,9184,2017-07-01
Bingham County, Idaho,45927,2017-07-01
Blaine County, Idaho,22024,2017-07-01
Boise County, Idaho,7290,2017-07-01
Bonner County, Idaho,43560,2017-07-01
Bonneville County, Idaho,114595,2017-07-01
Boundary County, Idaho,11922,2017-07-01
Butte County, Idaho,2602,2017-07-01
Camas County, Idaho,1102,2017-07-01
Canyon County, Idaho,216699,2017-07-01
Caribou County, Idaho,7034,2017-07-01
Cassia County, Idaho,23664,2017-07-01
Clark County, Idaho,873,2017-07-01
Clearwater County, Idaho,8546,2017-07-01
Custer County, Idaho,4172,2017-07-01
Elmore County, Idaho,26823,2017-07-01
Franklin County, Idaho,13564,2017-07-01
DuPage County, Illinois,930128,2017-07-01
Edgar County, Illinois,17328,2017-07-01
Edwards County, Illinois,6486,2017-07-01
Effingham County, Illinois,34132,2017-07-01
Fayette County, Illinois,21784,2017-07-01
Ford County, Illinois,13280,2017-07-01
Kootenai County, Idaho,157637,2017-07-01
Latah County, Idaho,39333,2017-07-01
Lemhi County, Idaho,7875,2017-07-01
Lewis County, Idaho,3887,2017-07-01
Lincoln County, Idaho,5318,2017-07-01
Madison County, Idaho,39141,2017-07-01
Minidoka County, Idaho,20729,2017-07-01
Nez Perce County, Idaho,40385,2017-07-01
Oneida County, Idaho,4427,2017-07-01
Owyhee County, Idaho,11628,2017-07-01
Payette County, Idaho,23215,2017-07-01
Power County, Idaho,7600,2017-07-01
Shoshone County, Idaho,12542,2017-07-01
Teton County, Idaho,11381,2017-07-01
Twin Falls County, Idaho,85124,2017-07-01
Valley County, Idaho,10687,2017-07-01
Washington County, Idaho,10121,2017-07-01
Adams County, Illinois,66234,2017-07-01
Alexander County, Illinois,6315,2017-07-01
Bond County, Illinois,16948,2017-07-01
Boone County, Illinois,53513,2017-07-01
Brown County, Illinois,6716,2017-07-01
Bureau County, Illinois,33243,2017-07-01
Calhoun County, Illinois,4833,2017-07-01
Carroll County, Illinois,14518,2017-07-01
Cass County, Illinois,12505,2017-07-01
Champaign County, Illinois,209399,2017-07-01
Christian County, Illinois,33102,2017-07-01
Clark County, Illinois,15767,2017-07-01
Clay County, Illinois,13269,2017-07-01
Clinton County, Illinois,37614,2017-07-01
Coles County, Illinois,51979,2017-07-01
Cook County, Illinois,5211263,2017-07-01
Crawford County, Illinois,18961,2017-07-01
Cumberland County, Illinois,10908,2017-07-01
DeKalb County, Illinois,104733,2017-07-01
De Witt County, Illinois,15942,2017-07-01
Douglas County, Illinois,19748,2017-07-01
Ogle County, Illinois,51063,2017-07-01
Peoria County, Illinois,183011,2017-07-01
Perry County, Illinois,21285,2017-07-01
Piatt County, Illinois,16445,2017-07-01
Pike County, Illinois,15821,2017-07-01
Pope County, Illinois,4325,2017-07-01
Franklin County, Illinois,39041,2017-07-01
Fulton County, Illinois,35110,2017-07-01
Gallatin County, Illinois,5080,2017-07-01
Greene County, Illinois,13174,2017-07-01
Grundy County, Illinois,50586,2017-07-01
Hamilton County, Illinois,8194,2017-07-01
Hancock County, Illinois,18020,2017-07-01
Hardin County, Illinois,4046,2017-07-01
Henderson County, Illinois,6795,2017-07-01
Henry County, Illinois,49328,2017-07-01
Iroquois County, Illinois,27876,2017-07-01
Jackson County, Illinois,58284,2017-07-01
Jasper County, Illinois,9578,2017-07-01
Jefferson County, Illinois,38179,2017-07-01
Jersey County, Illinois,21941,2017-07-01
Jo Daviess County, Illinois,21594,2017-07-01
Johnson County, Illinois,12900,2017-07-01
Kane County, Illinois,534667,2017-07-01
Kankakee County, Illinois,109605,2017-07-01
Kendall County, Illinois,126218,2017-07-01
Knox County, Illinois,50638,2017-07-01
Lake County, Illinois,703520,2017-07-01
LaSalle County, Illinois,110067,2017-07-01
Lawrence County, Illinois,16168,2017-07-01
Lee County, Illinois,34406,2017-07-01
Livingston County, Illinois,36518,2017-07-01
Logan County, Illinois,29245,2017-07-01
McDonough County, Illinois,30823,2017-07-01
McHenry County, Illinois,309122,2017-07-01
McLean County, Illinois,172290,2017-07-01
Macon County, Illinois,105801,2017-07-01
Macoupin County, Illinois,45446,2017-07-01
Madison County, Illinois,265428,2017-07-01
Marion County, Illinois,37902,2017-07-01
